Department,Year,Semester,Subject Name
Electrical Engineering,2,3,Electrical Machines – I
Electrical Engineering,2,4,Microprocessors and its Applications
Electrical Engineering,2,4,Power Systems – I
Electrical Engineering,2,4,Electrical Machines – II
Electrical Engineering,2,4,Power Electronics
Electrical Engineering,2,4,Entrepreneurship and Startups
Electrical Engineering,2,4,Indian Constitution (Audit)
Electrical Engineering,3,5,Digital Electronics
Electrical Engineering,3,5,Control Systems
Electrical Engineering,3,5,Electromagnetic Fields
Electrical Engineering,3,5,Power Systems – II
Electrical Engineering,3,5,Signals and Systems
Electrical Engineering,3,5,Principles of Economics
Electrical Engineering,3,5,Essence of Indian Knowledge and Tradition (Audit)
Electrical Engineering,3,5,Study Tour (Audit)
Electrical Engineering,3,6,Organizational Behavior
Electrical Engineering,3,6,Switchgear and Protection
Electrical Engineering,3,6,Electrical Measurements and Instrumentation
Electrical Engineering,3,6,Programme Elective – I
Electrical Engineering,3,6,Programme Elective – II
Electrical Engineering,3,6,Open Elective – I (from MOOC)
Electrical Engineering,3,6,Seminar
Electrical Engineering,4,7,Modern Control Engineering
Electrical Engineering,4,7,Programme Elective – III
Electrical Engineering,4,7,Programme Elective – IV
Electrical Engineering,4,7,Open Elective – II
Electrical Engineering,4,7,Project – I
Electrical Engineering,4,7,Industrial Training
Electrical Engineering,4,8,Programme Elective – V
Electrical Engineering,4,8,Programme Elective – VI
Electrical Engineering,4,8,Open Elective – III (from MOOC)
Electrical Engineering,4,8,Open Elective – IV
Electrical Engineering,4,8,Project – II
Electrical Engineering,4,8,Extra-curricular Activities and Discipline
Mechanical Engineering,1,1,Introduction to Mechanics
Mechanical Engineering,1,1,Mathematics – I
Mechanical Engineering,1,1,Basic Electrical Engineering
Mechanical Engineering,1,1,Engineering Graphics and Design
Mechanical Engineering,1,1,Biology for Engineers
Mechanical Engineering,1,2,Communication Skills
Mechanical Engineering,1,2,Mathematics – II
Mechanical Engineering,1,2,Engineering Chemistry – B
